files,labels,panns_inference_events_list
audio/airport-barcelona-0-0-a.wav,airport,"['Speech', 'Clip-clop', 'Animal', 'Horse', 'Outside, urban or manmade', 'Run']"
audio/airport-barcelona-0-1-a.wav,airport,"['Speech', 'Run', 'Outside, urban or manmade', 'Vehicle', 'Rowboat, canoe, kayak', 'Animal', 'Boat, Water vehicle', 'Bicycle']"
audio/airport-barcelona-0-2-a.wav,airport,"['Speech', 'Run', 'Outside, urban or manmade', 'Vehicle', 'Clip-clop', 'Male speech, man speaking', 'Horse', 'Animal']"
audio/airport-barcelona-0-3-a.wav,airport,"['Speech', 'Clip-clop', 'Horse', 'Animal', 'Outside, urban or manmade', 'Run', 'Vehicle']"
audio/airport-barcelona-0-4-a.wav,airport,"['Speech', 'Animal', 'Horse', 'Clip-clop', 'Music', 'Whistling', 'Neigh, whinny', 'Bird']"
audio/airport-barcelona-0-5-a.wav,airport,"['Speech', 'Animal', 'Vehicle', 'Music', 'Outside, urban or manmade', 'Clip-clop', 'Horse', 'Run', 'Outside, rural or natural']"
audio/airport-barcelona-0-6-a.wav,airport,"['Speech', 'Vehicle', 'Boat, Water vehicle', 'Rowboat, canoe, kayak', 'Outside, urban or manmade', 'Animal', 'Run']"
audio/airport-barcelona-0-7-a.wav,airport,"['Speech', 'Clip-clop', 'Horse', 'Animal', 'Outside, urban or manmade', 'Run', 'Vehicle']"
audio/airport-barcelona-0-8-a.wav,airport,"['Speech', 'Run', 'Outside, urban or manmade', 'Vehicle', 'Animal', 'Clip-clop', 'Rowboat, canoe, kayak', 'Hubbub, speech noise, speech babble']"
audio/airport-barcelona-0-9-a.wav,airport,"['Speech', 'Outside, urban or manmade', 'Run', 'Clip-clop', 'Animal', 'Horse', 'Vehicle', 'Hubbub, speech noise, speech babble', 'Crowd']"
audio/airport-barcelona-0-10-a.wav,airport,"['Speech', 'Music', 'Animal', 'Clip-clop', 'Horse', 'Outside, urban or manmade', 'Run']"
audio/airport-barcelona-0-11-a.wav,airport,"['Speech', 'Animal', 'Horse', 'Clip-clop', 'Sheep', 'Run', 'Bleat', 'Outside, urban or manmade', 'Neigh, whinny', 'Vehicle']"
audio/airport-barcelona-0-12-a.wav,airport,"['Speech', 'Animal', 'Vehicle', 'Clip-clop', 'Fowl', 'Horse', 'Boat, Water vehicle', 'Outside, urban or manmade']"
audio/airport-barcelona-0-13-a.wav,airport,"['Speech', 'Run', 'Animal', 'Clip-clop', 'Horse', 'Outside, urban or manmade', 'Music', 'Outside, rural or natural', 'Vehicle']"
audio/airport-barcelona-0-14-a.wav,airport,"['Speech', 'Clip-clop', 'Horse', 'Animal', 'Run', 'Outside, urban or manmade', 'Walk, footsteps', 'Vehicle', 'Outside, rural or natural']"
audio/airport-barcelona-0-15-a.wav,airport,"['Speech', 'Clip-clop', 'Animal', 'Basketball bounce', 'Horse', 'Run', 'Outside, urban or manmade', 'Vehicle']"
audio/airport-barcelona-1-16-a.wav,airport,"['Speech', 'Clip-clop', 'Run', 'Horse', 'Outside, urban or manmade', 'Animal', 'Vehicle']"
audio/airport-barcelona-1-17-a.wav,airport,"['Speech', 'Run', 'Vehicle', 'Boat, Water vehicle', 'Outside, urban or manmade', 'Clip-clop', 'Rowboat, canoe, kayak', 'Animal', 'Horse']"
audio/airport-barcelona-1-18-a.wav,airport,"['Speech', 'Music', 'Musical instrument', 'Plucked string instrument', 'Guitar', 'Ukulele', 'Pizzicato', 'Male speech, man speaking', 'Animal']"
audio/airport-barcelona-1-19-a.wav,airport,"['Speech', 'Outside, urban or manmade', 'Run', 'Bicycle', 'Vehicle', 'Children playing', 'Child speech, kid speaking', 'Outside, rural or natural', 'Animal']"
audio/airport-barcelona-1-20-a.wav,airport,"['Speech', 'Clip-clop', 'Horse', 'Animal', 'Run', 'Outside, urban or manmade', 'Vehicle']"
audio/airport-barcelona-1-21-a.wav,airport,"['Speech', 'Outside, urban or manmade', 'Vehicle', 'Clip-clop', 'Animal', 'Horse', 'Run']"
audio/airport-barcelona-1-22-a.wav,airport,"['Speech', 'Music', 'Clip-clop', 'Animal', 'Vehicle', 'Horse', 'Male speech, man speaking']"
audio/airport-barcelona-1-23-a.wav,airport,"['Speech', 'Vehicle', 'Clip-clop', 'Animal', 'Male speech, man speaking', 'Outside, urban or manmade', 'Horse']"
audio/airport-barcelona-1-24-a.wav,airport,"['Speech', 'Animal', 'Vehicle', 'Male speech, man speaking', 'Outside, urban or manmade']"
audio/airport-barcelona-1-25-a.wav,airport,"['Speech', 'Male speech, man speaking', 'Narration, monologue', 'Vehicle', 'Squish', 'Clip-clop', 'Run', 'Outside, urban or manmade', 'Horse']"
audio/airport-barcelona-1-26-a.wav,airport,"['Speech', 'Animal', 'Clip-clop', 'Horse', 'Outside, urban or manmade', 'Vehicle', 'Mouse']"
audio/airport-barcelona-1-27-a.wav,airport,"['Speech', 'Vehicle', 'Animal', 'Outside, urban or manmade']"
audio/airport-barcelona-1-28-a.wav,airport,"['Speech', 'Clip-clop', 'Animal', 'Horse', 'Vehicle', 'Boat, Water vehicle', 'Rowboat, canoe, kayak', 'Run', 'Outside, urban or manmade']"
audio/airport-barcelona-1-29-a.wav,airport,"['Speech', 'Run', 'Clip-clop', 'Outside, urban or manmade', 'Animal', 'Horse', 'Vehicle']"
audio/airport-barcelona-1-30-a.wav,airport,"['Speech', 'Male speech, man speaking', 'Narration, monologue', 'Clip-clop', 'Squish', 'Animal', 'Horse']"
audio/airport-barcelona-1-31-a.wav,airport,"['Speech', 'Outside, urban or manmade', 'Fireworks', 'Vehicle', 'Firecracker', 'Arrow', 'Run', 'Fire']"
audio/airport-barcelona-1-32-a.wav,airport,"['Speech', 'Run', 'Vehicle', 'Animal', 'Clip-clop', 'Outside, urban or manmade', 'Boat, Water vehicle', 'Rowboat, canoe, kayak', 'Horse']"
audio/airport-barcelona-1-33-a.wav,airport,"['Speech', 'Animal', 'Horse', 'Neigh, whinny', 'Clip-clop', 'Outside, urban or manmade', 'Run']"
audio/airport-barcelona-1-34-a.wav,airport,"['Speech', 'Outside, urban or manmade', 'Animal', 'Clip-clop', 'Horse', 'Vehicle', 'Male speech, man speaking', 'Run']"
audio/airport-barcelona-1-35-a.wav,airport,"['Speech', 'Run', 'Clip-clop', 'Outside, urban or manmade', 'Music', 'Horse', 'Animal', 'Chatter', 'Crowd']"
audio/airport-barcelona-1-36-a.wav,airport,"['Speech', 'Animal', 'Domestic animals, pets', 'Cat', 'Meow', 'Clip-clop', 'Horse', 'Vehicle', 'Outside, urban or manmade', 'Run']"
audio/airport-barcelona-1-37-a.wav,airport,"['Speech', 'Outside, urban or manmade', 'Run', 'Clip-clop', 'Animal', 'Horse', 'Vehicle', 'Hubbub, speech noise, speech babble']"
audio/airport-barcelona-1-38-a.wav,airport,"['Speech', 'Run', 'Animal', 'Outside, urban or manmade', 'Clip-clop', 'Horse', 'Vehicle', 'Outside, rural or natural', 'Walk, footsteps']"
audio/airport-barcelona-1-39-a.wav,airport,"['Speech', 'Male speech, man speaking', 'Animal', 'Music', 'Clip-clop', 'Vehicle', 'Run', 'Horse']"
audio/airport-barcelona-1-40-a.wav,airport,"['Speech', 'Clip-clop', 'Animal', 'Horse', 'Run', 'Vehicle', 'Outside, urban or manmade', 'Walk, footsteps']"
audio/airport-barcelona-1-41-a.wav,airport,"['Speech', 'Vehicle', 'Outside, urban or manmade', 'Clip-clop', 'Run', 'Animal', 'Male speech, man speaking', 'Horse', 'Hubbub, speech noise, speech babble', 'Music']"
audio/airport-barcelona-1-42-a.wav,airport,"['Speech', 'Outside, urban or manmade', 'Run', 'Clip-clop', 'Animal', 'Horse', 'Vehicle']"
